station,date,time,lat,lon,loc,season,depth_m,depth_desc,sample_id,temp_wat,temp_in_lb,sal_wat,pres,ph_lb,ta,ph,nitrate_nitrite,ammonium,phosphate,silicate,chl,o2
S1,23-Apr-25,1:23:00 PM,5.49,-0.02,Sakumono,First warm / stratified,1.18,surface,P4504-S1-250423-D1m-OA,28.811,28.1,35.421,11.322,7.912,2057.478,7.901,0.335,0.003,0.002,1.028,0.28,80
S1,23-Apr-25,1:50:00 PM,5.49,-0.02,Sakumono,First warm / stratified,4.1,dcm,P4504-S1-250423-D4m-OA,28.853,28,35.378,14.266,7.929,2186.363,7.916,0.146,0.005,0.003,2.821,0.295,100
S1,23-Apr-25,2:32:00 PM,5.49,-0.02,Sakumono,First warm / stratified,29.118,bdcm,P4504-S1-250423-D30m-OA,24.693,27.9,35.607,39.49,7.791,2253.775,7.836,0.004,0.006,0.004,0.943,0.44,205
S1,23-Apr-25,2:15:00 PM,5.49,-0.02,Sakumono,First warm / stratified,46.363,bdcm,P4504-S1-250423-D50m-OA,21.615,27.8,35.838,56.877,7.873,2277.41,7.963,,,,,,170
S2,23-Apr-25,4:25:00 PM,5.4,0.025,Sakumono,First warm / stratified,0.992,surface,P4504-S2-250423-D1m-OA,29.175,27.2,35.427,11.133,7.949,2249.848,7.92,0.07,0.006,0.004,0.85,0.265,210
S2,23-Apr-25,4:24:00 PM,5.4,0.025,Sakumono,First warm / stratified,72.931,dcm,P4504-S2-250423-D79m-OA,20.246,27.4,35.866,83.663,7.75,2284.362,7.851,8.09,0.007,0.535,2.497,0.385,251
S3,23-Apr-25,5:42:00 PM,5.31,0.07,Sakumono,First warm / stratified,1.366,surface,P4504-S3-250423-D1m-OA,29.222,27.2,35.485,11.51,7.958,2255.002,7.928,0.007,0.008,0.005,2.282,0.3,150
S3,23-Apr-25,6:05:00 PM,5.31,0.07,Sakumono,First warm / stratified,13.828,dcm,P4504-S3-250423-D10m-OA,29.264,27.3,35.472,24.074,7.95,2271.935,7.921,0.029,0.008,0.005,1.279,0.33,94
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
